INDEX:1000:<ulong>,direction:1000:<string>,input:1000:<int>
1,forward,2
2,down,7
3,down,8
4,forward,9
5,down,8
6,forward,9
7,forward,8
8,down,3
9,forward,8
10,forward,5
11,up,2
12,down,9
13,down,4
14,forward,4
15,forward,3
16,down,8
17,down,9
18,forward,5
19,down,1
20,up,1
21,forward,4
22,up,5
23,forward,2
24,down,6
25,forward,9
26,forward,3
27,forward,7
28,down,6
29,down,1
30,forward,8
31,down,3
32,forward,1
33,up,6
34,down,1
35,down,2
36,forward,9
37,down,7
38,down,1
39,down,7
40,down,7
41,up,5
42,down,8
43,forward,6
44,up,8
45,up,2
46,forward,6
47,up,1
48,down,9
49,forward,8
50,forward,4
51,up,3
52,forward,7
53,down,2
54,down,8
55,forward,5
56,down,9
57,up,4
58,forward,7
59,forward,5
60,down,5
61,down,5
62,forward,3
63,forward,2
64,down,2
65,up,4
66,up,7
67,down,8
68,up,8
69,forward,1
70,up,4
71,forward,4
72,down,2
73,forward,5
74,forward,7
75,down,4
76,forward,8
77,down,2
78,forward,5
79,forward,9
80,forward,6
81,forward,5
82,down,5
83,forward,4
84,forward,3
85,down,7
86,down,8
87,forward,9
88,forward,7
89,down,3
90,down,6
91,forward,4
92,down,7
93,up,9
94,down,8
95,up,7
96,up,3
97,forward,6
98,forward,9
99,down,2
100,down,3
101,down,1
102,down,3
103,forward,8
104,forward,3
105,forward,9
106,down,5
107,up,1
108,up,2
109,down,9
110,up,9
111,down,5
112,down,9
113,forward,1
114,down,3
115,down,5
116,down,1
117,forward,7
118,down,6
119,forward,7
120,forward,4
121,up,2
122,up,1
123,forward,9
124,down,2
125,down,6
126,down,5
127,down,6
128,forward,8
129,down,5
130,forward,1
131,forward,2
132,down,7
133,down,5
134,down,7
135,up,9
136,down,9
137,up,4
138,down,7
139,up,8
140,down,9
141,forward,3
142,down,6
143,down,2
144,forward,9
145,down,4
146,up,7
147,forward,3
148,down,5
149,forward,8
150,forward,9
151,down,2
152,up,5
153,forward,2
154,forward,9
155,up,5
156,down,2
157,forward,8
158,forward,6
159,down,7
160,down,3
161,forward,4
162,forward,3
163,forward,9
164,up,4
165,up,4
166,forward,7
167,up,3
168,forward,6
169,down,7
170,up,8
171,forward,2
172,up,1
173,down,6
174,forward,4
175,up,6
176,up,6
177,up,3
178,forward,4
179,forward,2
180,forward,5
181,forward,8
182,down,9
183,down,4
184,down,3
185,down,1
186,down,6
187,down,4
188,down,5
189,down,7
190,down,5
191,up,4
192,forward,3
193,down,4
194,down,7
195,down,7
196,down,2
197,forward,2
198,forward,9
199,up,6
200,down,3
201,up,9
202,forward,8
203,down,9
204,up,2
205,up,2
206,up,2
207,up,1
208,down,6
209,forward,9
210,forward,2
211,forward,2
212,forward,2
213,forward,5
214,up,3
215,down,7
216,down,6
217,down,8
218,up,3
219,up,9
220,down,3
221,forward,1
222,forward,7
223,down,7
224,down,1
225,forward,3
226,down,7
227,down,9
228,down,7
229,down,3
230,up,2
231,down,6
232,up,6
233,down,1
234,up,2
235,forward,7
236,up,2
237,down,7
238,up,2
239,down,9
240,down,3
241,forward,6
242,down,5
243,down,1
244,forward,5
245,down,2
246,down,6
247,down,1
248,down,3
249,down,3
250,down,5
251,forward,2
252,forward,4
253,forward,8
254,forward,6
255,forward,4
256,forward,9
257,up,8
258,down,5
259,forward,1
260,down,1
261,forward,1
262,forward,6
263,up,1
264,down,6
265,down,3
266,forward,9
267,forward,5
268,forward,4
269,up,3
270,up,7
271,down,2
272,up,4
273,up,2
274,down,1
275,forward,6
276,forward,9
277,forward,4
278,forward,2
279,down,8
280,forward,4
281,forward,3
282,up,5
283,down,4
284,forward,3
285,down,8
286,down,5
287,down,5
288,forward,1
289,forward,6
290,forward,4
291,forward,5
292,forward,9
293,forward,5
294,down,4
295,forward,3
296,forward,8
297,down,8
298,down,1
299,up,4
300,down,4
301,up,7
302,forward,2
303,forward,6
304,down,3
305,down,5
306,down,5
307,down,8
308,up,3
309,down,2
310,forward,4
311,forward,2
312,forward,4
313,forward,9
314,up,2
315,down,7
316,up,7
317,down,2
318,forward,4
319,up,7
320,forward,4
321,down,2
322,forward,7
323,up,2
324,down,3
325,forward,5
326,down,7
327,down,2
328,up,2
329,up,1
330,up,7
331,up,9
332,down,3
333,forward,1
334,forward,3
335,down,2
336,down,3
337,forward,6
338,down,7
339,forward,9
340,down,9
341,forward,3
342,forward,2
343,down,1
344,up,9
345,down,4
346,forward,4
347,up,4
348,forward,7
349,up,3
350,down,4
351,down,9
352,down,3
353,forward,7
354,down,6
355,down,7
356,down,6
357,up,5
358,forward,3
359,forward,9
360,up,2
361,up,4
362,up,9
363,down,2
364,forward,5
365,up,1
366,down,7
367,down,5
368,up,2
369,forward,8
370,down,8
371,up,3
372,forward,4
373,down,9
374,forward,6
375,down,9
376,down,5
377,forward,6
378,down,8
379,up,6
380,down,3
381,forward,6
382,forward,3
383,down,3
384,down,5
385,down,7
386,down,1
387,down,5
388,down,7
389,down,5
390,forward,3
391,down,2
392,forward,4
393,up,4
394,up,1
395,up,7
396,forward,1
397,forward,5
398,down,4
399,down,8
400,down,3
401,forward,4
402,down,3
403,up,7
404,down,6
405,forward,9
406,up,8
407,forward,2
408,forward,5
409,down,6
410,up,4
411,forward,8
412,forward,5
413,down,6
414,forward,2
415,down,7
416,forward,3
417,forward,1
418,forward,6
419,down,9
420,up,6
421,down,4
422,down,2
423,up,8
424,forward,4
425,down,8
426,forward,8
427,up,9
428,forward,7
429,down,6
430,up,9
431,down,4
432,up,6
433,down,4
434,down,3
435,up,7
436,up,4
437,forward,5
438,up,9
439,down,9
440,up,6
441,down,3
442,forward,8
443,down,9
444,forward,7
445,up,3
446,up,9
447,forward,8
448,down,3
449,forward,3
450,forward,5
451,down,6
452,forward,3
453,down,4
454,up,6
455,forward,3
456,forward,7
457,down,1
458,down,6
459,down,4
460,forward,6
461,up,6
462,down,5
463,down,6
464,down,4
465,up,2
466,down,7
467,down,9
468,down,2
469,down,6
470,forward,3
471,forward,4
472,down,5
473,up,5
474,down,5
475,forward,3
476,forward,6
477,down,4
478,down,7
479,up,2
480,forward,7
481,down,7
482,up,6
483,up,3
484,forward,9
485,forward,8
486,up,6
487,forward,2
488,down,2
489,forward,8
490,forward,4
491,up,6
492,forward,6
493,down,8
494,up,3
495,up,5
496,forward,6
497,up,8
498,down,1
499,down,4
500,up,9
501,forward,6
502,up,5
503,down,6
504,down,8
505,down,9
506,forward,5
507,up,3
508,down,7
509,forward,3
510,forward,6
511,down,3
512,down,1
513,down,9
514,up,9
515,down,4
516,down,7
517,forward,2
518,forward,4
519,down,7
520,forward,7
